timestamp,url,action,details,element_label,selector,input_value,nature,session_data,local_storage,cookies
1741515487.601474,,DiscoverCoupons,Starting coupon code discovery,,,,0,,,
1741515490.6135767,,DiscoverCoupons,"Coupons found: {'WMNSDY2019': {'validOn': 1551999600000.0, 'discount': 75}}",,,,0,,,
1741515508.6830757,https://tingkingsushi.ddns.net/#/login,Input,,email,input#email.mat-input-element.mat-form-field-autofill-control.ng-tns-c21-8.ng-untouched.cdk-text-field-autofill-monitored.ng-dirty.ng-valid,test@gmail.com,0,{},{},"[{""name"": ""language"", ""value"": ""en"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1773051504, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}]"
1741515508.8626413,https://tingkingsushi.ddns.net/#/login,Input,,password,input#password.mat-input-element.mat-form-field-autofill-control.ng-tns-c21-9.ng-untouched.cdk-text-field-autofill-monitored.ng-dirty.ng-valid,test123,0,{},{},"[{""name"": ""language"", ""value"": ""en"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1773051504, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}]"
1741515509.105029,https://tingkingsushi.ddns.net/#/login,Click,,Login,button#loginButton.mat-focus-indicator.mat-raised-button.mat-button-base.mat-primary.cdk-focused.cdk-mouse-focused,,0,"{""bid"": ""8""}","{""token"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTUxNTUxMX0.HZ8pwGgKyS60xBsnBXcFdpn0etgvUNgPNCxnsRaA8mTM5kzI6WMknTpqv4I1Ra19S-EZGwjYLMRrFP40PsV9s9BHS6l95gwrJhwqyxXw1y4a9qY_pr24U11W3D7ht_HWU21Kls-ZBi8FgyPAy7oGVRMJDbNm7hgQgERZakqLbZ0""}","[{""name"": ""language"", ""value"": ""en"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1773051504, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}, {""name"": ""token"", ""value"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTUxNTUxMX0.HZ8pwGgKyS60xBsnBXcFdpn0etgvUNgPNCxnsRaA8mTM5kzI6WMknTpqv4I1Ra19S-EZGwjYLMRrFP40PsV9s9BHS6l95gwrJhwqyxXw1y4a9qY_pr24U11W3D7ht_HWU21Kls-ZBi8FgyPAy7oGVRMJDbNm7hgQgERZakqLbZ0"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1741544309, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}]"
1741515512.199831,https://tingkingsushi.ddns.net/#/search,Login,"Login successful, token present.",,,,0,"{""bid"": ""8""}","{""token"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTUxNTUxMX0.HZ8pwGgKyS60xBsnBXcFdpn0etgvUNgPNCxnsRaA8mTM5kzI6WMknTpqv4I1Ra19S-EZGwjYLMRrFP40PsV9s9BHS6l95gwrJhwqyxXw1y4a9qY_pr24U11W3D7ht_HWU21Kls-ZBi8FgyPAy7oGVRMJDbNm7hgQgERZakqLbZ0""}","[{""name"": ""language"", ""value"": ""en"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1773051504, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}, {""name"": ""token"", ""value"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTUxNTUxMX0.HZ8pwGgKyS60xBsnBXcFdpn0etgvUNgPNCxnsRaA8mTM5kzI6WMknTpqv4I1Ra19S-EZGwjYLMRrFP40PsV9s9BHS6l95gwrJhwqyxXw1y4a9qY_pr24U11W3D7ht_HWU21Kls-ZBi8FgyPAy7oGVRMJDbNm7hgQgERZakqLbZ0"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1741544309, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}]"
1741515512.9013083,https://tingkingsushi.ddns.net/#/search,Click,,Add to Basket,button.mat-focus-indicator.btn-basket.mat-button.mat-raised-button.mat-button-base.mat-primary.ng-star-inserted.cdk-focused.cdk-mouse-focused,,0,"{""bid"": ""8""}","{""token"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTUxNTUxMX0.HZ8pwGgKyS60xBsnBXcFdpn0etgvUNgPNCxnsRaA8mTM5kzI6WMknTpqv4I1Ra19S-EZGwjYLMRrFP40PsV9s9BHS6l95gwrJhwqyxXw1y4a9qY_pr24U11W3D7ht_HWU21Kls-ZBi8FgyPAy7oGVRMJDbNm7hgQgERZakqLbZ0""}","[{""name"": ""language"", ""value"": ""en"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1773051504, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}, {""name"": ""token"", ""value"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTUxNTUxMX0.HZ8pwGgKyS60xBsnBXcFdpn0etgvUNgPNCxnsRaA8mTM5kzI6WMknTpqv4I1Ra19S-EZGwjYLMRrFP40PsV9s9BHS6l95gwrJhwqyxXw1y4a9qY_pr24U11W3D7ht_HWU21Kls-ZBi8FgyPAy7oGVRMJDbNm7hgQgERZakqLbZ0"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1741544309, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}]"
1741515514.9927146,https://tingkingsushi.ddns.net/#/search,AddToCart,Product added to cart.,,,,0,"{""bid"": ""8""}","{""token"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTUxNTUxMX0.HZ8pwGgKyS60xBsnBXcFdpn0etgvUNgPNCxnsRaA8mTM5kzI6WMknTpqv4I1Ra19S-EZGwjYLMRrFP40PsV9s9BHS6l95gwrJhwqyxXw1y4a9qY_pr24U11W3D7ht_HWU21Kls-ZBi8FgyPAy7oGVRMJDbNm7hgQgERZakqLbZ0""}","[{""name"": ""language"", ""value"": ""en"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1773051504, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}, {""name"": ""token"", ""value"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTUxNTUxMX0.HZ8pwGgKyS60xBsnBXcFdpn0etgvUNgPNCxnsRaA8mTM5kzI6WMknTpqv4I1Ra19S-EZGwjYLMRrFP40PsV9s9BHS6l95gwrJhwqyxXw1y4a9qY_pr24U11W3D7ht_HWU21Kls-ZBi8FgyPAy7oGVRMJDbNm7hgQgERZakqLbZ0"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1741544309, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}]"
1741515515.0574596,https://tingkingsushi.ddns.net/#/search,NavigateBasket,Navigating to basket page: https://tingkingsushi.ddns.net/#/basket,,,,0,"{""bid"": ""8""}","{""token"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTUxNTUxMX0.HZ8pwGgKyS60xBsnBXcFdpn0etgvUNgPNCxnsRaA8mTM5kzI6WMknTpqv4I1Ra19S-EZGwjYLMRrFP40PsV9s9BHS6l95gwrJhwqyxXw1y4a9qY_pr24U11W3D7ht_HWU21Kls-ZBi8FgyPAy7oGVRMJDbNm7hgQgERZakqLbZ0""}","[{""name"": ""language"", ""value"": ""en"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1773051504, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}, {""name"": ""token"", ""value"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTUxNTUxMX0.HZ8pwGgKyS60xBsnBXcFdpn0etgvUNgPNCxnsRaA8mTM5kzI6WMknTpqv4I1Ra19S-EZGwjYLMRrFP40PsV9s9BHS6l95gwrJhwqyxXw1y4a9qY_pr24U11W3D7ht_HWU21Kls-ZBi8FgyPAy7oGVRMJDbNm7hgQgERZakqLbZ0"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1741544309, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}]"
1741515517.7477996,https://tingkingsushi.ddns.net/#/basket,ClickCheckout,Clicked checkout button.,,,,0,"{""bid"": ""8"", ""itemTotal"": ""29.99""}","{""token"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTUxNTUxMX0.HZ8pwGgKyS60xBsnBXcFdpn0etgvUNgPNCxnsRaA8mTM5kzI6WMknTpqv4I1Ra19S-EZGwjYLMRrFP40PsV9s9BHS6l95gwrJhwqyxXw1y4a9qY_pr24U11W3D7ht_HWU21Kls-ZBi8FgyPAy7oGVRMJDbNm7hgQgERZakqLbZ0""}","[{""name"": ""language"", ""value"": ""en"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1773051504, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}, {""name"": ""token"", ""value"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTUxNTUxMX0.HZ8pwGgKyS60xBsnBXcFdpn0etgvUNgPNCxnsRaA8mTM5kzI6WMknTpqv4I1Ra19S-EZGwjYLMRrFP40PsV9s9BHS6l95gwrJhwqyxXw1y4a9qY_pr24U11W3D7ht_HWU21Kls-ZBi8FgyPAy7oGVRMJDbNm7hgQgERZakqLbZ0"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1741544309, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}]"
