timestamp,url,action,details,element_label,selector,input_value,nature,session_data,local_storage,cookies
1741416877.577689,,DiscoverCoupons,Starting coupon code discovery,,,,0,,,
1741416879.7326007,,DiscoverCoupons,"Coupons found: {'WMNSDY2019': {'validOn': 1551999600000.0, 'discount': 75}}",,,,0,,,
1741416885.0478563,https://tingkingsushi.ddns.net/#/login,Input,,email,input#email.mat-input-element.mat-form-field-autofill-control.ng-tns-c21-8.ng-untouched.cdk-text-field-autofill-monitored.ng-dirty.ng-valid,test@gmail.com,0,{},{},"[{""name"": ""language"", ""value"": ""en"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1772952881, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}]"
1741416885.0918558,https://tingkingsushi.ddns.net/#/login,Input,,password,input#password.mat-input-element.mat-form-field-autofill-control.ng-tns-c21-9.ng-untouched.cdk-text-field-autofill-monitored.ng-dirty.ng-valid,test123,0,{},{},"[{""name"": ""language"", ""value"": ""en"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1772952881, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}]"
1741416885.1538565,https://tingkingsushi.ddns.net/#/login,Click,,Login,button#loginButton.mat-focus-indicator.mat-raised-button.mat-button-base.mat-primary.cdk-focused.cdk-mouse-focused,,0,{},{},"[{""name"": ""language"", ""value"": ""en"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1772952881, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}]"
1741416888.189318,https://tingkingsushi.ddns.net/#/search,Login,"Login successful, token present.",,,,0,"{""bid"": ""8""}","{""token"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTQxNjg4Nn0.CL7DzoFgKIqM9HIHD5sOKRwU5sc0I5lkfPFfu_OY5gpr4de1UFC_0eLtKkCnv2ZbqJcOigIsU5wsamR-y3SR4irHyT3qvIYygBzC0l6cLoIZtt_Adi4-f10Ig_JVt1JHchencfw3cnlixtAnH--hxq7NafXURsGIC20X_m-vpLg""}","[{""name"": ""language"", ""value"": ""en"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1772952881, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}, {""name"": ""token"", ""value"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTQxNjg4Nn0.CL7DzoFgKIqM9HIHD5sOKRwU5sc0I5lkfPFfu_OY5gpr4de1UFC_0eLtKkCnv2ZbqJcOigIsU5wsamR-y3SR4irHyT3qvIYygBzC0l6cLoIZtt_Adi4-f10Ig_JVt1JHchencfw3cnlixtAnH--hxq7NafXURsGIC20X_m-vpLg"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1741445685, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}]"
1741416888.4453182,https://tingkingsushi.ddns.net/#/search,Click,,Add to Basket,button.mat-focus-indicator.btn-basket.mat-button.mat-raised-button.mat-button-base.mat-primary.ng-star-inserted.cdk-focused.cdk-mouse-focused,,0,"{""bid"": ""8""}","{""token"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTQxNjg4Nn0.CL7DzoFgKIqM9HIHD5sOKRwU5sc0I5lkfPFfu_OY5gpr4de1UFC_0eLtKkCnv2ZbqJcOigIsU5wsamR-y3SR4irHyT3qvIYygBzC0l6cLoIZtt_Adi4-f10Ig_JVt1JHchencfw3cnlixtAnH--hxq7NafXURsGIC20X_m-vpLg""}","[{""name"": ""language"", ""value"": ""en"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1772952881, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}, {""name"": ""token"", ""value"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTQxNjg4Nn0.CL7DzoFgKIqM9HIHD5sOKRwU5sc0I5lkfPFfu_OY5gpr4de1UFC_0eLtKkCnv2ZbqJcOigIsU5wsamR-y3SR4irHyT3qvIYygBzC0l6cLoIZtt_Adi4-f10Ig_JVt1JHchencfw3cnlixtAnH--hxq7NafXURsGIC20X_m-vpLg"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1741445685, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}]"
1741416890.4686413,https://tingkingsushi.ddns.net/#/search,AddToCart,Product added to cart.,,,,0,"{""bid"": ""8""}","{""token"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTQxNjg4Nn0.CL7DzoFgKIqM9HIHD5sOKRwU5sc0I5lkfPFfu_OY5gpr4de1UFC_0eLtKkCnv2ZbqJcOigIsU5wsamR-y3SR4irHyT3qvIYygBzC0l6cLoIZtt_Adi4-f10Ig_JVt1JHchencfw3cnlixtAnH--hxq7NafXURsGIC20X_m-vpLg""}","[{""name"": ""language"", ""value"": ""en"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1772952881, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}, {""name"": ""token"", ""value"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTQxNjg4Nn0.CL7DzoFgKIqM9HIHD5sOKRwU5sc0I5lkfPFfu_OY5gpr4de1UFC_0eLtKkCnv2ZbqJcOigIsU5wsamR-y3SR4irHyT3qvIYygBzC0l6cLoIZtt_Adi4-f10Ig_JVt1JHchencfw3cnlixtAnH--hxq7NafXURsGIC20X_m-vpLg"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1741445685, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}]"
1741416890.4896429,https://tingkingsushi.ddns.net/#/search,NavigateBasket,Navigating to basket page: https://tingkingsushi.ddns.net/#/basket,,,,0,"{""bid"": ""8""}","{""token"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTQxNjg4Nn0.CL7DzoFgKIqM9HIHD5sOKRwU5sc0I5lkfPFfu_OY5gpr4de1UFC_0eLtKkCnv2ZbqJcOigIsU5wsamR-y3SR4irHyT3qvIYygBzC0l6cLoIZtt_Adi4-f10Ig_JVt1JHchencfw3cnlixtAnH--hxq7NafXURsGIC20X_m-vpLg""}","[{""name"": ""language"", ""value"": ""en"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1772952881, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}, {""name"": ""token"", ""value"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTQxNjg4Nn0.CL7DzoFgKIqM9HIHD5sOKRwU5sc0I5lkfPFfu_OY5gpr4de1UFC_0eLtKkCnv2ZbqJcOigIsU5wsamR-y3SR4irHyT3qvIYygBzC0l6cLoIZtt_Adi4-f10Ig_JVt1JHchencfw3cnlixtAnH--hxq7NafXURsGIC20X_m-vpLg"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1741445685, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}]"
1741416893.0476167,https://tingkingsushi.ddns.net/#/basket,ClickCheckout,Clicked checkout button.,,,,0,"{""bid"": ""8"", ""itemTotal"": ""29.99""}","{""token"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTQxNjg4Nn0.CL7DzoFgKIqM9HIHD5sOKRwU5sc0I5lkfPFfu_OY5gpr4de1UFC_0eLtKkCnv2ZbqJcOigIsU5wsamR-y3SR4irHyT3qvIYygBzC0l6cLoIZtt_Adi4-f10Ig_JVt1JHchencfw3cnlixtAnH--hxq7NafXURsGIC20X_m-vpLg""}","[{""name"": ""language"", ""value"": ""en"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1772952881, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}, {""name"": ""token"", ""value"": ""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0ZXN0QGdtYWlsLmNvbSIsInBhc3N3b3JkIjoiY2MwM2U3NDdhNmFmYmJjYmY4YmU3NjY4YWNmZWJlZTUiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMTI3LjAuMC4xIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6MDk6MTEuODE4ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDcgMDU6NDQ6NTMuNDQzICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTQxNjg4Nn0.CL7DzoFgKIqM9HIHD5sOKRwU5sc0I5lkfPFfu_OY5gpr4de1UFC_0eLtKkCnv2ZbqJcOigIsU5wsamR-y3SR4irHyT3qvIYygBzC0l6cLoIZtt_Adi4-f10Ig_JVt1JHchencfw3cnlixtAnH--hxq7NafXURsGIC20X_m-vpLg"", ""domain"": ""tingkingsushi.ddns.net"", ""path"": ""/"", ""expires"": 1741445685, ""httpOnly"": false, ""secure"": false, ""sameSite"": ""Lax""}]"
