flow_id,parameter,consistent_value,segment,segment_length
A,cookies[0].value,en,1 to 28,28
A,session_data.bid,8,3 to 28,26
A,cookies[2].expires,1772711040.0,1 to 28,28
A,cookies[2].sameSite,Lax,1 to 28,28
A,cookies[3].value,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0dHRAZ21haWwuY29tIiwicGFzc3dvcmQiOiI2Y2VlNDYxOGZjNDk2MGQxODRlYjdlZmJkMGFhMjdiNSIsInJvbGUiOiJjdXN0b21lciIsImRlbHV4ZVRva2VuIjoiIiwibGFzdExvZ2luSXAiOiJ1bmRlZmluZWQiLCJwcm9maWxlSW1hZ2UiOiIvYXNzZXRzL3B1YmxpYy9pbWFnZXMvdXBsb2Fkcy9kZWZhdWx0LnN2ZyIsInRvdHBTZWNyZXQiOiIiLCJpc0FjdGl2ZSI6dHJ1ZSwiY3JlYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDowMDo1NS43NDEgKzAwOjAwIiwidXBkYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDoyMjo0Ni42ODQgKzAwOjAwIiwiZGVsZXRlZEF0IjpudWxsfSwiaWF0IjoxNzQxMTc1MDQzfQ.wsAUTDS8XUbw9YjjNBBHKZbYURPC-RKm9lj7OUOMtR9bvPUCTTyddvv-jn1vaYDxgr-4cY0x9bpo8vypkLfeRkLw1lw7xBCeAvIFgLlX7t4soSRXrZty_KfYA6PXg1WSF6q8xevrhmxzu-k-kC1smGXavZwXS6IUeKxhMhBk-XM,3 to 28,26
A,cookies[1].secure,False,1 to 28,28
A,session_data.deliveryMethodId,1,19 to 27,9
A,cookies[0].secure,False,1 to 28,28
A,cookies[3].path,/,3 to 28,26
A,cookies[2].httpOnly,False,1 to 28,28
A,cookies[3].domain,slaying.ddns.net,3 to 28,26
A,cookies[0].domain,slaying.ddns.net,1 to 28,28
A,local_storage.token,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0dHRAZ21haWwuY29tIiwicGFzc3dvcmQiOiI2Y2VlNDYxOGZjNDk2MGQxODRlYjdlZmJkMGFhMjdiNSIsInJvbGUiOiJjdXN0b21lciIsImRlbHV4ZVRva2VuIjoiIiwibGFzdExvZ2luSXAiOiJ1bmRlZmluZWQiLCJwcm9maWxlSW1hZ2UiOiIvYXNzZXRzL3B1YmxpYy9pbWFnZXMvdXBsb2Fkcy9kZWZhdWx0LnN2ZyIsInRvdHBTZWNyZXQiOiIiLCJpc0FjdGl2ZSI6dHJ1ZSwiY3JlYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDowMDo1NS43NDEgKzAwOjAwIiwidXBkYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDoyMjo0Ni42ODQgKzAwOjAwIiwiZGVsZXRlZEF0IjpudWxsfSwiaWF0IjoxNzQxMTc1MDQzfQ.wsAUTDS8XUbw9YjjNBBHKZbYURPC-RKm9lj7OUOMtR9bvPUCTTyddvv-jn1vaYDxgr-4cY0x9bpo8vypkLfeRkLw1lw7xBCeAvIFgLlX7t4soSRXrZty_KfYA6PXg1WSF6q8xevrhmxzu-k-kC1smGXavZwXS6IUeKxhMhBk-XM,3 to 28,26
A,cookies[3].secure,False,3 to 28,26
A,cookies[1].value,dismiss,1 to 28,28
A,cookies[1].path,/,1 to 28,28
A,cookies[0].path,/,1 to 28,28
A,cookies[1].httpOnly,False,1 to 28,28
A,cookies[1].sameSite,Lax,1 to 28,28
A,cookies[0].expires,1772711038.0,1 to 28,28
A,session_data.itemTotal,9.95,5 to 26,22
A,cookies[0].sameSite,Lax,1 to 28,28
A,session_data.addressId,12,17 to 27,11
A,cookies[2].name,cookieconsent_status,1 to 28,28
A,cookies[1].expires,1772711039.0,1 to 28,28
A,cookies[3].name,token,3 to 28,26
A,session_data.paymentId,13,27 to 27,1
A,cookies[2].value,dismiss,1 to 28,28
A,cookies[3].sameSite,Lax,3 to 28,26
A,cookies[2].secure,False,1 to 28,28
A,cookies[0].name,language,1 to 28,28
A,cookies[2].path,/,1 to 28,28
A,cookies[1].name,welcomebanner_status,1 to 28,28
A,cookies[1].domain,slaying.ddns.net,1 to 28,28
A,cookies[0].httpOnly,False,1 to 28,28
A,cookies[3].expires,1741203842.0,3 to 28,26
A,cookies[3].httpOnly,False,3 to 28,26
A,cookies[2].domain,slaying.ddns.net,1 to 28,28
B,cookies[0].value,en,1 to 8,8
B,session_data.bid,8,3 to 7,5
B,cookies[2].expires,1772711226.0,3 to 8,6
B,cookies[2].sameSite,Lax,3 to 8,6
B,cookies[3].value,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0dHRAZ21haWwuY29tIiwicGFzc3dvcmQiOiI2Y2VlNDYxOGZjNDk2MGQxODRlYjdlZmJkMGFhMjdiNSIsInJvbGUiOiJjdXN0b21lciIsImRlbHV4ZVRva2VuIjoiIiwibGFzdExvZ2luSXAiOiJ1bmRlZmluZWQiLCJwcm9maWxlSW1hZ2UiOiIvYXNzZXRzL3B1YmxpYy9pbWFnZXMvdXBsb2Fkcy9kZWZhdWx0LnN2ZyIsInRvdHBTZWNyZXQiOiIiLCJpc0FjdGl2ZSI6dHJ1ZSwiY3JlYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDowMDo1NS43NDEgKzAwOjAwIiwidXBkYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDoyMjo0Ni42ODQgKzAwOjAwIiwiZGVsZXRlZEF0IjpudWxsfSwiaWF0IjoxNzQxMTc1MjI5fQ.JKPd0Ia_BO-CFqqU4Qs9JmW25cTp7I2GVNb5H8MQkh2CF6gRVuT9PaZxv6n2jImkfHJaLmoohTs_ZS937eqtNG78Uq5e2lanH05uqj1G6p-mL_gdZRVeWA9Gt1rkCDhSjOVLmEuLm1ANIVoGdBatZsmSMULaNecyPy6nrEJh3Zk,3 to 7,5
B,cookies[1].secure,False,1 to 8,8
B,cookies[0].secure,False,1 to 8,8
B,cookies[3].path,/,3 to 7,5
B,cookies[2].httpOnly,False,3 to 8,6
B,cookies[3].domain,slaying.ddns.net,3 to 7,5
B,cookies[0].domain,slaying.ddns.net,1 to 8,8
B,local_storage.token,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0dHRAZ21haWwuY29tIiwicGFzc3dvcmQiOiI2Y2VlNDYxOGZjNDk2MGQxODRlYjdlZmJkMGFhMjdiNSIsInJvbGUiOiJjdXN0b21lciIsImRlbHV4ZVRva2VuIjoiIiwibGFzdExvZ2luSXAiOiJ1bmRlZmluZWQiLCJwcm9maWxlSW1hZ2UiOiIvYXNzZXRzL3B1YmxpYy9pbWFnZXMvdXBsb2Fkcy9kZWZhdWx0LnN2ZyIsInRvdHBTZWNyZXQiOiIiLCJpc0FjdGl2ZSI6dHJ1ZSwiY3JlYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDowMDo1NS43NDEgKzAwOjAwIiwidXBkYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDoyMjo0Ni42ODQgKzAwOjAwIiwiZGVsZXRlZEF0IjpudWxsfSwiaWF0IjoxNzQxMTc1MjI5fQ.JKPd0Ia_BO-CFqqU4Qs9JmW25cTp7I2GVNb5H8MQkh2CF6gRVuT9PaZxv6n2jImkfHJaLmoohTs_ZS937eqtNG78Uq5e2lanH05uqj1G6p-mL_gdZRVeWA9Gt1rkCDhSjOVLmEuLm1ANIVoGdBatZsmSMULaNecyPy6nrEJh3Zk,3 to 7,5
B,cookies[3].secure,False,3 to 7,5
B,cookies[1].value,dismiss,1 to 8,8
B,cookies[1].path,/,1 to 8,8
B,cookies[0].path,/,1 to 8,8
B,cookies[1].httpOnly,False,1 to 8,8
B,cookies[1].sameSite,Lax,1 to 8,8
B,cookies[0].expires,1772711223.0,1 to 8,8
B,cookies[0].sameSite,Lax,1 to 8,8
B,cookies[2].name,cookieconsent_status,3 to 8,6
B,cookies[1].expires,1772711225.0,1 to 8,8
B,cookies[3].name,token,3 to 7,5
B,cookies[2].value,dismiss,3 to 8,6
B,cookies[3].sameSite,Lax,3 to 7,5
B,cookies[2].secure,False,3 to 8,6
B,cookies[0].name,language,1 to 8,8
B,cookies[2].path,/,3 to 8,6
B,cookies[1].name,welcomebanner_status,1 to 8,8
B,cookies[1].domain,slaying.ddns.net,1 to 8,8
B,cookies[0].httpOnly,False,1 to 8,8
B,cookies[3].expires,1741204028.0,3 to 7,5
B,cookies[3].httpOnly,False,3 to 7,5
B,cookies[2].domain,slaying.ddns.net,3 to 8,6
C,cookies[0].value,en,1 to 9,9
C,session_data.bid,8,3 to 9,7
C,cookies[2].expires,1772711938.0,3 to 9,7
C,cookies[2].sameSite,Lax,3 to 9,7
C,cookies[3].value,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0dHRAZ21haWwuY29tIiwicGFzc3dvcmQiOiI2Y2VlNDYxOGZjNDk2MGQxODRlYjdlZmJkMGFhMjdiNSIsInJvbGUiOiJjdXN0b21lciIsImRlbHV4ZVRva2VuIjoiIiwibGFzdExvZ2luSXAiOiJ1bmRlZmluZWQiLCJwcm9maWxlSW1hZ2UiOiIvYXNzZXRzL3B1YmxpYy9pbWFnZXMvdXBsb2Fkcy9kZWZhdWx0LnN2ZyIsInRvdHBTZWNyZXQiOiIiLCJpc0FjdGl2ZSI6dHJ1ZSwiY3JlYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDowMDo1NS43NDEgKzAwOjAwIiwidXBkYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDoyMjo0Ni42ODQgKzAwOjAwIiwiZGVsZXRlZEF0IjpudWxsfSwiaWF0IjoxNzQxMTc1OTQxfQ.yO7pwLnyuyu1UfbPd5z7w1IXU7zj9B3vDEzYTUtvCZR3ydiERggE2Mn9uZ-lGTvV3Kpwt4qk2PlrOua0lX0-TQDPtG0YtcRHpaHHgo8ad09gKUUMS3j-TBpht1qvGbBfcRrt8Z813qSFtFWNTNGjaFmiuQ5U9lnFumN9CFIF0Mc,3 to 9,7
C,cookies[1].secure,False,1 to 9,9
C,cookies[0].secure,False,1 to 9,9
C,cookies[3].path,/,3 to 9,7
C,cookies[2].httpOnly,False,3 to 9,7
C,cookies[3].domain,slaying.ddns.net,3 to 9,7
C,cookies[0].domain,slaying.ddns.net,1 to 9,9
